Date,ProblemType,ExampleNumber,ErrorMyMethod,ErrorMusserMethod,ErrorMatlabMethod,ErrorMultroots,MeanMethod,Preproc,emin,emax,LowRankMethod,DeconvolutionMethod,TimeMyMethod,TimeMusserMethod,UX_Method
25-May-2016 09:45:05, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.213043e-08, 	 3.416151e-08, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 1.050914e-01, 	 9.141893e-02, 	 From ux 
25-May-2016 09:45:06, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.552056e-08, 	 9.549135e-10, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.438330e-01, 	 1.366018e-01, 	 From ux 
25-May-2016 09:45:06, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321382e-09, 	 1.121004e-09, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 3.777748e-01, 	 5.968692e-01, 	 From ux 
25-May-2016 09:45:07, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435412e-10, 	 1.020832e-09, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.671995e-01, 	 6.381262e-01, 	 From ux 
25-May-2016 09:45:08, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.468389e-10, 	 4.446621e-09, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 6.856130e-02, 	 4.763360e-02, 	 From ux 
25-May-2016 09:45:08, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 4.390918e-09, 	 1.442277e-07, 	 2.056381e-11, 	 5.827646e-11, 	 None, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 7.799190e-01, 	 1.039836e+00, 	 From ux 
25-May-2016 09:45:09, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.844559e-09, 	 9.596488e-10, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.457825e-02, 	 6.735737e-02, 	 From ux 
25-May-2016 09:45:10, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.075760e-10, 	 5.378551e-09, 	 2.056381e-11, 	 5.827646e-11, 	 None, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.852568e-01, 	 1.005258e+00, 	 From ux 
25-May-2016 09:45:10, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.385025e-08, 	 1.120981e-08, 	 9.589723e-11, 	 9.589785e-11, 	 None, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 5.728861e-01, 	 5.895425e-01, 	 From ux 
25-May-2016 09:45:11, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.232822e-07, 	 3.416432e-07, 	 2.056381e-11, 	 5.827646e-11, 	 None, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 1.200231e-01, 	 1.011945e-01, 	 From ux 
