25-May-2016 09:30:29, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.830104e+00, 	 -4.820000e+00, 	 2.069886e+02, 	 -1.864139e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:29, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.148051e+00, 	 -2.394834e+00, 	 1.639416e+02, 	 -1.169402e+02, 	 y, 	 1.460785e-02, 	 8.899619e-01 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.830104e+00, 	 -4.820000e+00, 	 2.069886e+02, 	 -1.864139e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.148051e+00, 	 -2.394834e+00, 	 1.639416e+02, 	 -1.169402e+02, 	 y, 	 1.460785e-02, 	 8.899619e-01 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.354005e+03, 	 -1.451003e+03, 	 6.107106e+03, 	 -5.560635e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 None, 	 5.098383e+03, 	 -4.191003e+03, 	 1.037911e+04, 	 -1.232003e+04, 	 y, 	 4.138288e-01, 	 1.303654e+00 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.354005e+03, 	 -1.451003e+03, 	 6.107106e+03, 	 -5.560635e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 None, 	 5.098383e+03, 	 -4.191003e+03, 	 1.037911e+04, 	 -1.232003e+04, 	 y, 	 4.138288e-01, 	 1.303654e+00 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 9.112735e+00, 	 -2.400049e+01, 	 5.929117e+00, 	 -5.339762e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.716554e+00, 	 -1.192472e+01, 	 4.696051e+00, 	 -3.349712e+00, 	 y, 	 2.539309e+00, 	 8.899619e-01 
25-May-2016 09:30:30, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 9.112735e+00, 	 -2.400049e+01, 	 5.929117e+00, 	 -5.339762e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.716554e+00, 	 -1.192472e+01, 	 4.696051e+00, 	 -3.349712e+00, 	 y, 	 2.539309e+00, 	 8.899619e-01 
