date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 1.646803e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 2.793167e-08, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 8.097621e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 5.389013e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 4.449559e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 7.778895e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:46, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 6.884059e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 7.349372e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 1.739108e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 7.690447e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 1.061551e-10, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 5.399990e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 7.920737e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:47, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 3.155789e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
