date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
14-Nov-2016 17:09:46, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.457043e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:09:47, 	 GCD, 	 2, 	 19, 	 16, 	     9, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:09:56, 	 GCD, 	 2, 	 19, 	 16, 	     9, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:09:56, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:10:04, 	 GCD, 	 2, 	 19, 	 16, 	     7, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:10:05, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:10:14, 	 GCD, 	 2, 	 19, 	 16, 	     7, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:10:17, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 None 
14-Nov-2016 17:10:24, 	 GCD, 	 2, 	 19, 	 16, 	     7, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:10:29, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:10:37, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:10:43, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 None 
